depth_m,GTS_age,d13Ccarb,d18Ocarb
171.6,429.999,0.09,-4.83
171.75,430.006,-0.06,-4.87
171.9,430.013,,
172.05,430.02,,
172.2,430.027,-0.08,-5.21
172.35,430.034,-0.01,-5.12
172.5,430.041,0,-5.09
172.65,430.048,0,-4.95
172.81,430.055,-0.01,-4.81
172.95,430.062,0.04,-4.46
173.1,430.069,-0.03,-4.38
173.25,430.076,0.03,-4.89
173.4,430.083,0.06,-4.86
173.55,430.09,-0.17,-4.23
173.7,430.097,0.07,-4.94
173.85,430.104,-0.02,-5.01
174,430.111,-0.07,-4.93
174.15,430.118,0.02,-4.67
174.3,430.125,0,-4.89
174.45,430.132,0.03,-4.3
174.6,430.139,-0.11,-5.02
174.75,430.145,-0.07,-4.78
174.9,430.152,-0.14,-4.02
175.05,430.159,-0.02,-5.05
175.2,430.166,0.12,-4.34
175.35,430.173,-0.1,-4.8
175.5,430.18,-0.2,-4.25
175.65,430.187,-0.06,-5.07
175.8,430.194,0.04,-4.94
175.95,430.201,0.01,-5.05
176.1,430.208,-0.13,-5.22
176.25,430.215,0.01,-4.32
176.4,430.222,0.01,-4.37
176.55,430.229,-0.04,-5.15
176.7,430.236,0.07,-4.57
176.85,430.243,-0.11,-5.04
177,430.25,-0.12,-5.31
177.15,430.257,-0.07,-5.13
177.3,430.264,0.08,-4.56
177.45,430.271,0.06,-4.86
177.6,430.278,-0.06,-5
177.75,430.285,-0.1,-4.9
177.9,430.292,0.05,-4.94
178.05,430.299,0.04,-4.73
178.2,430.306,-0.15,-5.15
178.35,430.313,0.01,-4.43
178.5,430.32,-0.09,-5.01
178.65,430.327,-0.03,-4.95
178.8,430.334,-0.06,-5.04
178.95,430.341,-0.12,-4.27
179.1,430.348,-0.05,-4.08
179.25,430.355,-0.29,-4.09
179.4,430.362,0.06,-4.59
179.55,430.369,0.06,-4.93
179.7,430.376,0.06,-4.58
179.85,430.383,0,-4.82
180,430.39,-0.07,-4.91
180.15,430.397,0,-5.12
180.3,430.404,0.17,-4.99
180.45,430.411,-0.05,-4.28
180.6,430.418,-0.04,-4.77
180.75,430.425,-0.06,-5.12
180.9,430.432,-0.1,-4.2
181.05,430.439,-0.05,-4.13
181.2,430.446,0,-4.59
181.35,430.453,-0.03,-4.46
181.5,430.46,-0.09,-5.1
181.65,430.466,-0.12,-5.27
181.8,430.473,-0.11,-4.5
181.95,430.48,-0.15,-4.77
182.1,430.487,-0.02,-4.61
182.25,430.494,-0.07,-4.47
182.4,430.501,-0.04,-4.93
182.55,430.508,0,-4.66
182.7,430.515,0.05,-4.88
182.85,430.522,-0.02,-4.87
183,430.529,-0.11,-5.47
183.15,430.536,-0.12,-4.76
183.3,430.543,-0.24,-4.98
183.45,430.55,-0.29,-5.84
183.6,430.557,-0.12,-4.84
183.75,430.564,-0.03,-5.18
183.9,430.571,0.1,-4.57
184.05,430.578,-0.06,-4.86
184.2,430.585,-0.04,-4.82
184.35,430.592,0.02,-4.55
184.5,430.599,0.22,-4.37
184.65,430.606,0.01,-4.84
184.8,430.613,-0.24,-4.14
184.95,430.62,-0.11,-5.06
185.1,430.623,-0.04,-5.09
185.25,430.627,-0.09,-4.57
185.4,430.63,0.06,-4.53
185.55,430.634,0.09,-4.73
185.7,430.637,0.04,-4.74
185.85,430.641,0.01,-4.61
186,430.644,-0.17,-4.25
186.15,430.648,-0.16,-4.09
186.3,430.651,-0.09,-4.88
186.45,430.655,-0.24,-3.9
186.6,430.658,0.03,-4
186.75,430.662,0.27,-4.27
186.9,430.665,0.23,-4.33
187.05,430.669,0.18,-4.43
187.2,430.672,0.14,-4.6
187.35,430.675,0.18,-4.69
187.5,430.679,0.16,-4.67
187.65,430.682,0.2,-4.36
187.8,430.686,-0.01,-4.94
187.95,430.689,0.03,-4.41
188.1,430.693,0.09,-4.73
188.25,430.696,0.06,-4.44
188.4,430.7,0.01,-4.63
188.55,430.703,-0.05,-4.83
188.7,430.707,0,-4.98
188.85,430.71,-0.33,-4.02
189,430.714,0.16,-4.89
189.15,430.717,0.09,-4.94
189.3,430.721,0.02,-5.25
189.45,430.724,0,-4.3
189.6,430.727,0.14,-4.85
189.75,430.731,-0.06,-4.1
189.9,430.734,0.06,-4.59
190.05,430.738,0.04,-5.18
190.2,430.741,-0.05,-5
190.35,430.745,0.03,-5.21
190.5,430.748,0.04,-4.11
190.65,430.752,-0.05,-4.41
190.8,430.755,0.18,-4.51
190.95,430.759,0.28,-4.49
191.1,430.762,0.3,-4.74
191.25,430.766,0.13,-4.76
191.4,430.769,-0.06,-4.81
191.55,430.773,0.09,-4.91
191.7,430.776,0.16,-4.67
191.85,430.779,-0.25,-4.12
192,430.783,0.15,-4.87
192.15,430.786,0.06,-5.42
192.29,430.79,0.02,-5.11
192.45,430.793,0.08,-4.64
192.6,430.797,-0.01,-5.07
192.75,430.8,0.05,-5.05
192.8,430.804,-0.06,-4.86
193.05,430.807,0.06,-4.65
193.2,430.811,0.24,-4.57
193.35,430.814,0.14,-4.55
193.5,430.818,0.13,-4.77
193.65,430.821,0.14,-4.51
193.8,430.825,0.18,-4.52
193.96,430.828,0.34,-4.6
194.06,430.831,0.14,-4.47
194.25,430.835,0.1,-5.04
194.4,430.838,0.13,-4.71
194.55,430.842,0.13,-4.53
194.7,430.845,0.08,-4.47
194.85,430.849,0.02,-5.05
195,430.852,0.05,-4.75
195.15,430.856,0.15,-4.09
195.3,430.859,-0.14,-4.59
195.45,430.863,0.05,-5.11
195.6,430.866,0.05,-4.86
195.75,430.87,0.08,-5.15
195.9,430.873,0.01,-4.48
196.05,430.877,0.1,-4.6
196.2,430.88,0.11,-4.61
196.35,430.883,0.14,-4.07
196.5,430.887,0.07,-4.07
196.65,430.89,-0.17,-4.02
196.8,430.894,0.21,-4.18
196.95,430.897,0,-4.04
197.1,430.901,0.03,-5.24
197.25,430.904,0.03,-4.98
197.4,430.908,0.06,-4.93
197.55,430.911,0.16,-4.78
197.7,430.915,0.08,-4.74
197.85,430.918,0.02,-5.1
198,430.922,0.03,-4.89
198.15,430.925,0.16,-5.02
198.3,430.928,-0.05,-4.26
198.45,430.932,,
198.6,430.935,0.14,-4.83
198.75,430.939,0.02,-4.89
198.9,430.942,-0.06,-4.24
199.05,430.946,0.11,-4.71
199.2,430.949,0.04,-4.49
199.35,430.953,0.11,-4.65
199.5,430.956,-0.13,-4.45
199.65,430.96,0.03,-5.17
199.8,430.963,-0.11,-5.29
199.95,430.967,-0.13,-4.96
200.1,430.97,-0.16,-4.02
200.25,430.974,0,-4.81
200.4,430.977,-0.06,-4.62
200.55,430.98,-0.17,-4.36
200.7,430.984,-0.28,-4.04
200.85,430.987,-0.02,-4.25
